Date,Order Id,Nonprofit,Donation Currency,Donation Amount,Fee
14/03/2019,DE128a8576699a5,Mantra Social Services,USD,100.00,2.35
14/03/2019,DE128a862c0321e,The Baale Mane Trust,USD,25.00,0.74
14/03/2019,DE128a86e271819,Susheel Foundation,USD,20.00,0.63
14/03/2019,DE128a89553a382,Anandam,USD,20.00,0.63
14/03/2019,DE128a898342430,Deendayal Navrachna Pratisthan Sondara Gurukul Domri,USD,25.00,0.74
14/03/2019,DE128a8a763325c,Bal Sansar Sanstha,EUR,32.00,0.58
14/03/2019,DE128a8ae0b74e5,Collective action for Basic Rights Foundation (CBRF),EUR,50.00,0.79
14/03/2019,DE128a8e1d14814,Isha Education,USD,20.00,0.63
14/03/2019,DE128a8efce71fd,Bangalore Baptist Hospital Society,GBP,10.00,0.34
14/03/2019,DE128a8fd847fdb,Vanavil Trust,USD,50.00,1.27
14/03/2019,DE128a8fe37e202,Sayodhya Home for Women in Need,USD,100.00,2.35
14/03/2019,DE128a9283d231c,Perambalur District Network for HIV Positive People,USD,100.00,2.35
14/03/2019,DE128a9adf4363b,Prayas,USD,20.00,0.63
14/03/2019,DE128aa53c3458c,Vaishnavi Welfare and Charitable Trust,USD,50.00,1.27
14/03/2019,DE128ab63fc3ff6,Isha Education,GBP,28.00,1.01
14/03/2019,DE128ab9d9c390e,Deva Kirubai Social Help Association - DKSHA,USD,100.00,2.35
14/03/2019,DE128abe11d5f38,Deendayal Navrachna Pratisthan Sondara Gurukul Domri,USD,20.00,0.63
14/03/2019,DE128ac02c52cbe,The Akshaya Patra Foundation,USD,50.00,1.27
14/03/2019,DE128ac93292a1f,Society for Children (SOCH),USD,200.00,4.50
14/03/2019,DE128ac9cdbe9ce,Dream a Dream,AUD,20.00,0.50
14/03/2019,DE128acf9e74d8f,Cuddles Foundation,MYR,147.00,0.97
14/03/2019,DE128add7f5f5a9,QUEST Alliance,USD,36.00,0.97
14/03/2019,DE128ade8608fd0,Sahyog Care For You,USD,173.00,3.92
14/03/2019,DE128adfdb4b71b,Hope Kolkata Foundation,USD,50.00,1.27
14/03/2019,DE128ae397d2c43,United Sisters Foundation,USD,100.00,2.35
15/03/2019,DE128aec18056ac,Gudia Swayam Sevi Sansthan,AUD,50.00,0.96
15/03/2019,DE128af74eeeba5,World for All Animal Care And Adoptions,USD,50.00,1.27
15/03/2019,DE128af8e974cca,Rostrum India Social Organization,USD,50.00,1.27
15/03/2019,DE128b03e0ac099,The Association of People with Disability,USD,37.00,0.99
15/03/2019,DE128b06c907bff,Babul Films Society,USD,75.00,1.81
15/03/2019,DE128b0b80c41d8,E and H Foundation,USD,50.00,1.27
15/03/2019,DE128b17cb939e4,South Central India Network for Development Alternatives,USD,65.00,1.59
15/03/2019,DE128b1f8d76219,Reaching Sky Foundation,USD,25.00,0.74
15/03/2019,DE128b26e1a6fd6,Million Sparks Foundation,USD,37.00,0.99
15/03/2019,DE128b2bd17480b,Tender Heart Education Society,USD,195.00,4.38
15/03/2019,DE128b2d4846334,Sambhav Foundation,USD,50.00,1.27
15/03/2019,DE128b4140aa5a7,Gir Pachhat Jati Vikas Seva Samiti,USD,30.00,0.84
15/03/2019,DE128b52f6535f8,Chehak Trust,AUD,200.00,3.23
15/03/2019,DE128b791d2a9fb,Society for Children (SOCH),SGD,782.00,12.57
15/03/2019,DE128b8d3408925,Bal Sansar Sanstha,AUD,50.00,0.96
15/03/2019,DE128b996f5c342,People for the Respect and Care of Animals,USD,25.00,0.74
15/03/2019,DE128b9b28873bd,Change With One Foundation,USD,100.00,2.34
15/03/2019,DE128bac1a45fc9,Gubbachi Learning Community,USD,30.00,0.84
15/03/2019,DE128bb61d60248,Parivaar Education Society,USD,20.00,0.63
15/03/2019,DE128bbaf65986b,E and H Foundation,USD,100.00,2.34
15/03/2019,DE128bd91cc0c44,Agrasar,USD,50.00,1.27
15/03/2019,DE128bdb5831af9,Million Sparks Foundation,USD,50.00,1.27
15/03/2019,DE128bdff782872,Team Everest,USD,50.00,1.27
15/03/2019,DE128be3b343775,PURE India Trust,USD,50.00,1.27
15/03/2019,DE128be8c8d7fa2,United Sisters Foundation,AED,100.00,0.78
15/03/2019,DE128bf0d84a660,Mantra Social Services,USD,37.00,0.99
15/03/2019,DE128bf16e6e249,Chehak Trust,USD,100.00,2.34
15/03/2019,DE128bf3082d22a,Vivekananda Youth Forum,USD,75.00,1.81
15/03/2019,DE128bf38547380,Bal Sansar Sanstha,USD,75.00,1.81
15/03/2019,DE128bf9158eeed,Sethu Trust,USD,347.00,7.64
15/03/2019,DE128bfc50a6460,Y4D Foundation,USD,20.00,0.63
15/03/2019,DE128c02246a4da,Teach For India,USD,37.00,0.99
15/03/2019,DE128c06f9a0269,Sevalaya,USD,50.00,1.27
15/03/2019,DE128c087097fe6,Jal Seva Charitable Foundation (WaterAid India),USD,65.00,1.59
15/03/2019,DE128c0b8796f36,QUEST Alliance,USD,10.00,0.41
16/03/2019,DE128c43060c66a,Team Everest,USD,37.00,0.99
16/03/2019,DE128c5e5997c99,Isha Education,USD,100.00,2.34
16/03/2019,DE128c66eeb6695,Quality Education Support Trust (QUEST),AUD,52.00,0.99
16/03/2019,DE128c68e013fcb,Bal Sansar Sanstha,SGD,30.00,0.67
16/03/2019,DE128c702f0ecd5,People for the Respect and Care of Animals,USD,50.00,1.27
16/03/2019,DE128c7476eedf5,RadhaKrushna Charitable Trust,SGD,20.00,0.52
16/03/2019,DE128c8047ed4aa,Sahyog Care For You,USD,100.00,2.34
16/03/2019,DE128c8170e1ce1,United Sisters Foundation,SGD,20.00,0.52
16/03/2019,DE128c8793a03b5,The Association of People with Disability,USD,101.00,2.36
16/03/2019,DE128c89a6200e0,Akshaya Aahara Foundation ( AAF),AED,54.00,0.51
16/03/2019,DE128c8f8a9046d,Bhumi,USD,50.00,1.27
16/03/2019,DE128cb60d04b5a,Khel Khel Mein Foundation,GBP,100.00,1.60
16/03/2019,DE128cb716e2c93,People for the Respect and Care of Animals,USD,37.00,0.99
16/03/2019,DE128cba58ab4b6,Kriti Social Initiatives,GBP,131.00,2.03
16/03/2019,DE128cc1a8eb91b,Vanavil Trust,GBP,20.00,0.48
16/03/2019,DE128cc5c33f1f3,NavGurukul Foundation for Social Welfare,GBP,131.00,2.03
16/03/2019,DE128cc64abe594,Vidya Poshak,AUD,50.00,0.96
16/03/2019,DE128ccd1bbe49c,Bal Sansar Sanstha,GBP,10.00,0.34
16/03/2019,DE128cd87e60f96,Manzil Mystics,AUD,50.00,0.96
16/03/2019,DE128ceca02635a,Foundation for Mother and Child Health,USD,200.00,4.47
16/03/2019,DE128cee2d8350d,Vanavil Trust,USD,66.00,1.61
16/03/2019,DE128cf50e52fb7,The CounterMedia Trust,USD,100.00,2.34
16/03/2019,DE128cfca83e63b,Evidyaloka Trust,USD,100.00,2.34
16/03/2019,DE128cff3d0fe96,Chehak Trust,USD,51.00,1.29
16/03/2019,DE128d028581641,Change With One Foundation,USD,100.00,2.34
16/03/2019,DE128d1717c7733,Bhumi,USD,37.00,0.99
16/03/2019,DE128d1741180f2,Change With One Foundation,SGD,25.00,0.60
16/03/2019,DE128d18eb99fb0,Yuvraj Singh Foundation,USD,14.00,0.50
16/03/2019,DE128d25e07de40,Vivekananda Youth Forum,AED,400.00,2.53
16/03/2019,DE128d29529feb4,Isha Education,GBP,77.00,1.28
16/03/2019,DE128d2a3d89204,Amenity Lifeline Emergency Response Team (ALERT),GBP,131.00,2.03
16/03/2019,DE128d2e7394655,People for the Respect and Care of Animals,GBP,28.00,0.59
16/03/2019,DE128d2fc0aa178,Sethu Trust,USD,50.00,1.27
16/03/2019,DE128d36f859be6,Bhumi,USD,111.00,2.57
16/03/2019,DE128d447522f85,Gubbachi Learning Community,USD,30.00,0.84
16/03/2019,DE128d5779714ac,Deesha Education Foundation,USD,37.00,0.99
16/03/2019,DE128d65977092a,Perambalur District Network for HIV Positive People,USD,100.00,2.34
16/03/2019,DE128d706583918,People for the Respect and Care of Animals,USD,40.00,1.05
16/03/2019,DE128d84adac3f3,Sambhav Foundation,USD,30.00,0.84
17/03/2019,DE128d95bed4732,Centre for Wildlife Studies,USD,100.00,2.34
17/03/2019,DE128d977297c16,RadhaKrushna Charitable Trust,EUR,20.00,0.43
17/03/2019,DE128d9e578e575,Gramin Samassya Mukti Trust,USD,100.00,2.34
17/03/2019,DE128dac21437c2,Collective action for Basic Rights Foundation (CBRF),USD,37.00,0.99
17/03/2019,DE128db10936fc8,Khel Khel Mein Foundation,USD,50.00,1.27
17/03/2019,DE128db10c90f86,Deva Kirubai Social Help Association - DKSHA,SGD,150.00,2.57
17/03/2019,DE128db27c5aa7c,Breakthrough Trust,USD,37.00,0.99
17/03/2019,DE128dbf3e9b5e8,Bangalore Medical Services Trust,USD,25.00,0.73
17/03/2019,DE128dbf3f38772,Sant Singaji Educational Society,USD,581.00,12.61
17/03/2019,DE128dcf4ba1ae1,Shikshan Ane Samaj Kalyan Kendra,USD,66.00,1.61
17/03/2019,DE128de3584a1f9,Y4D Foundation,USD,75.00,1.80
17/03/2019,DE128dfa936a6e2,Vidya Poshak,AUD,100.00,1.71
17/03/2019,DE128e0e80cf73b,Vivekananda Youth Forum,AUD,25.00,0.58
17/03/2019,DE128e18344f111,World for All Animal Care And Adoptions,SGD,11.00,0.37
17/03/2019,DE128e43fd45cde,Sant Singaji Educational Society,CAD,20.00,0.52
17/03/2019,DE128e4767bb799,Hariraj Charitable Trust,USD,175.00,3.93
17/03/2019,DE128e56b4e91a9,Mantra Social Services,EUR,308.00,3.80
17/03/2019,DE128e5f44cab51,Yuvraj Singh Foundation,USD,37.00,0.99
17/03/2019,DE128e5fed87402,Sambhav Foundation,USD,100.00,2.33
17/03/2019,DE128e6169814f8,Humana People to People India,USD,100.00,2.33
17/03/2019,DE128e62393869a,Breakthrough Trust,USD,175.00,3.93
17/03/2019,DE128e652fd76d6,Vanavil Trust,USD,20.00,0.63
17/03/2019,DE128e78f08954c,Deesha Education Foundation,USD,30.00,0.84
17/03/2019,DE128e842189a27,Cross Blood Foundation,USD,20.00,0.63
17/03/2019,DE128e85bf6fce1,World for All Animal Care And Adoptions,USD,100.00,2.33
17/03/2019,DE128e889cd9173,Hariraj Charitable Trust,USD,40.00,1.05
17/03/2019,DE128e933ed5b4f,Deesha Education Foundation,GBP,50.00,0.90
17/03/2019,DE128ea5a56f51a,Collective action for Basic Rights Foundation (CBRF),GBP,100.00,1.60
17/03/2019,DE128ead60d9727,Sahyog Care For You,USD,50.00,1.27
17/03/2019,DE128eb43f080ce,Breakthrough Trust,USD,50.00,1.27
17/03/2019,DE128eb5c7b3fd7,Sevalaya,USD,50.00,1.27
17/03/2019,DE128eb6466c319,RadhaKrushna Charitable Trust,GBP,20.00,0.48
17/03/2019,DE128ec9810fc0e,Sahyog Care For You,USD,50.00,1.27
17/03/2019,DE128ec9bc8835e,United Sisters Foundation,USD,8.00,0.37
17/03/2019,DE128ed0494fd05,Synodical Board of Social Services of the Church of North India,USD,37.00,0.99
18/03/2019,DE128ef026e0fbe,Rostrum India Social Organization,USD,100.00,2.34
18/03/2019,DE128ef41835fa4,Susheel Foundation,AUD,100.00,1.71
18/03/2019,DE128efd8765b73,Khel Khel Mein Foundation,USD,75.00,1.80
18/03/2019,DE128efde9e71e5,Cross Blood Foundation,USD,50.00,1.27
18/03/2019,DE128eff5b75e8c,Reaching Sky Foundation,USD,100.00,2.34
18/03/2019,DE128f001763336,Deva Kirubai Social Help Association - DKSHA,USD,50.00,1.27
18/03/2019,DE128f01e81e87a,Babul Films Society,USD,50.00,1.27
18/03/2019,DE128f03a8ddf63,The Baale Mane Trust,USD,100.00,2.34
18/03/2019,DE128f1352b8c30,People for the Respect and Care of Animals,USD,50.00,1.27
18/03/2019,DE128f165cc3d9e,Navnirman Trust (Jagrutha Mahila Sanghatan),USD,25.00,0.73
18/03/2019,DE128f1cf3dcc28,Evidyaloka Trust,USD,20.00,0.63
18/03/2019,DE128f1e243fc5d,Collective action for Basic Rights Foundation (CBRF),USD,100.00,2.34
18/03/2019,DE128f2c574788c,Perambalur District Network for HIV Positive People,USD,37.00,0.99
18/03/2019,DE128f2dae005c7,Bhumi,USD,37.00,0.99
18/03/2019,DE128f2fa31c2c8,Let's Live Together Charitable Trust,USD,100.00,2.34
18/03/2019,DE128f3716f1198,Akshaya Aahara Foundation ( AAF),AUD,100.00,1.71
18/03/2019,DE128f39146220b,Jal Seva Charitable Foundation (WaterAid India),USD,37.00,0.99
18/03/2019,DE128f43a622933,Collective action for Basic Rights Foundation (CBRF),USD,50.00,1.27
18/03/2019,DE128f48c588915,Foundation for Mother and Child Health,USD,37.00,0.99
18/03/2019,DE128f57370dee3,Million Sparks Foundation,MYR,267.00,1.60
18/03/2019,DE128f63aa907d9,Evidyaloka Trust,GBP,28.00,0.59
18/03/2019,DE128f673a53bc2,E and H Foundation,EUR,33.00,0.59
18/03/2019,DE128f6d873a7cc,Community Reconstruction of Social Service (CROSS),EUR,100.00,1.37
18/03/2019,DE128f8781c5063,Million Sparks Foundation,EUR,25.00,0.49
18/03/2019,DE128f97d65c37b,Parivaar Education Society,USD,30.00,0.84
18/03/2019,DE128f9ab1de263,Million Sparks Foundation,USD,66.00,1.61
18/03/2019,DE128f9fe75374f,Jal Seva Charitable Foundation (WaterAid India),USD,50.00,1.27
18/03/2019,DE128fa246bb969,Isha Education,USD,37.00,0.99
18/03/2019,DE128fa2a6013aa,Rostrum India Social Organization,USD,100.00,2.34
18/03/2019,DE128fa557b2b02,Prayas,GBP,50.00,0.90
18/03/2019,DE128faad383b00,United Way of Delhi,EUR,20.00,0.43
18/03/2019,DE128facad9fabf,Yuvraj Singh Foundation,SGD,20.00,0.52
18/03/2019,DE128fae311cb97,Reaching Sky Foundation,USD,108.00,2.51
18/03/2019,DE128fb3e146918,Sanjeevani Life Beyond Cancer,USD,37.00,0.99
18/03/2019,DE128fb560e1835,Chehak Trust,USD,37.00,0.99
18/03/2019,DE128fb5a68327a,SERUDS - Sai Educational Rural And Urban Development Society,USD,100.00,2.34
18/03/2019,DE128fc750733f8,Navnirman Trust (Jagrutha Mahila Sanghatan),GBP,10.00,0.34
18/03/2019,DE128fca929757c,Cross Blood Foundation,EUR,5.00,0.26
18/03/2019,DE128fcf5ebd538,Team Everest,USD,20.00,0.63
18/03/2019,DE128fdb8e6f706,Quality Education Support Trust (QUEST),USD,30.00,0.84
18/03/2019,DE128fe4c936993,Centre for Wildlife Studies,EUR,5.00,0.26
18/03/2019,DE128fe5656441f,Reaching Sky Foundation,USD,20.00,0.63
18/03/2019,DE128feacfa5257,Parivaar Education Society,USD,30.00,0.84
18/03/2019,DE128fec0fc68e9,NavGurukul Foundation for Social Welfare,USD,50.00,1.27
18/03/2019,DE128fec5bca6e0,Bangalore Baptist Hospital Society,USD,50.00,1.27
18/03/2019,DE128ff035202c1,Happy Horizons Trust,USD,50.00,1.27
18/03/2019,DE128ff7072d0c8,Sevalaya,USD,37.00,0.99
18/03/2019,DE128ffdbd5c816,Suyam Charitable Trust,USD,196.00,4.40
18/03/2019,DE128ffef8161f1,Sanjeevani Life Beyond Cancer,USD,50.00,1.27
18/03/2019,DE129017c19392c,Happy Horizons Trust,USD,25.00,0.74
18/03/2019,DE12901a714023d,Suyam Charitable Trust,USD,100.00,2.34
18/03/2019,DE1290208508892,Sevalaya,AUD,30.00,0.66
18/03/2019,DE12902a9b04246,Waste Warriors Society,USD,66.00,1.61
19/03/2019,DE1290418b0e85c,Agrasar,USD,66.00,1.61
19/03/2019,DE12905ca0c3df4,Sri Sathya Sai Health & Education Trust,USD,50.00,1.27
19/03/2019,DE12906c07beff1,Breakthrough Trust,USD,150.00,3.41
19/03/2019,DE129084d93e2f9,Foundation for Mother and Child Health,USD,100.00,2.34
19/03/2019,DE129085765c5de,Collective action for Basic Rights Foundation (CBRF),USD,275.00,6.09
19/03/2019,DE1290a7a5bdf85,Vaishnavi Welfare and Charitable Trust,GBP,100.00,1.60
19/03/2019,DE1290b0ce04d05,Deendayal Navrachna Pratisthan Sondara Gurukul Domri,JPY,"4,054.00",0.98
19/03/2019,DE1290d0cf73846,Foundation for Mother and Child Health,USD,50.00,1.27
19/03/2019,DE1290eb989b25b,Vivekananda Youth Forum,CAD,88.00,1.62
19/03/2019,DE1290ed41ce060,Suyam Charitable Trust,USD,5.00,0.31
19/03/2019,DE1290f7bb3ef53,The Akshaya Patra Foundation,USD,25.00,0.74
19/03/2019,DE1290f8f560d5b,NavGurukul Foundation for Social Welfare,USD,37.00,0.99
19/03/2019,DE1290f9027bec3,Anandam,USD,100.00,2.34
19/03/2019,DE129100df767c1,Hariraj Charitable Trust,USD,50.00,1.27
19/03/2019,DE129104c820e54,Sethu Trust,USD,50.00,1.27
19/03/2019,DE12910a4623419,Gubbachi Learning Community,USD,30.00,0.84
19/03/2019,DE12910a86a1e37,Rostrum India Social Organization,GBP,20.00,0.48
19/03/2019,DE12910fd161885,Breakthrough Trust,USD,50.00,1.27
19/03/2019,DE129111b5bf2a6,The Akshaya Patra Foundation,USD,20.00,0.63
19/03/2019,DE1291201971062,Breakthrough Trust,USD,200.00,4.48
19/03/2019,DE1291245d79558,Bangalore Baptist Hospital Society,EUR,100.00,1.37
19/03/2019,DE1291265a71c38,PURE India Trust,GBP,22.00,0.51
19/03/2019,DE1291311c92f7a,Susheel Foundation,AED,134.00,0.98
19/03/2019,DE1291356a70eb8,Jal Seva Charitable Foundation (WaterAid India),EUR,50.00,1.42
19/03/2019,DE12913aab314ca,Vivekananda Youth Forum,USD,50.00,1.27
19/03/2019,DE12915670e52e4,Ek Tara,USD,50.00,1.27
19/03/2019,DE12915fe498ead,United Sisters Foundation,USD,150.00,3.41
19/03/2019,DE12916799aea86,Manzil Mystics,USD,66.00,1.61
19/03/2019,DE12916ef8529d7,Vivekananda Youth Forum,USD,197.00,4.42
19/03/2019,DE1291731e1b3d7,Deendayal Navrachna Pratisthan Sondara Gurukul Domri,USD,37.00,0.99
19/03/2019,DE129174ba5794c,South Central India Network for Development Alternatives,USD,100.00,2.34
19/03/2019,DE12917e133486c,Dream a Dream,AUD,52.00,0.99
19/03/2019,DE129180af7071c,QUEST Alliance,USD,66.00,1.61
19/03/2019,DE1291815d08d33,Rostrum India Social Organization,USD,20.00,0.63
20/03/2019,DE129185ea67733,Gramin Samassya Mukti Trust,USD,20.00,0.63
20/03/2019,DE129190ef0a4d0,Bangalore Medical Services Trust,USD,50.00,1.27
20/03/2019,DE129191ad6758b,Ek Tara,USD,250.00,5.56
20/03/2019,DE1291ac32a3822,Sethu Trust,USD,75.00,1.81
20/03/2019,DE1291b72b32470,Happy Horizons Trust,USD,30.00,0.84
20/03/2019,DE1291b83c6a744,Bangalore Medical Services Trust,USD,100.00,2.34
20/03/2019,DE1291b923edd70,Sahyog Care For You,USD,50.00,1.27
20/03/2019,DE1291b9e2aeee5,Sant Singaji Educational Society,USD,100.00,2.34
20/03/2019,DE1291c0919a09c,Foundation for Mother and Child Health,USD,50.00,1.27
20/03/2019,DE1291c8137d2c9,Anandam,USD,37.00,0.99
20/03/2019,DE1291cacf17f11,Ek Tara,USD,100.00,2.34
20/03/2019,DE1291dfa39bea1,Centre for Wildlife Studies,USD,50.00,1.27
20/03/2019,DE1292008b7f560,Agrasar,GBP,20.00,0.48
20/03/2019,DE12921e73a31d4,Ek Tara,GBP,50.00,0.90
20/03/2019,DE12923566d87d0,E and H Foundation,NOK,557.00,0.88
20/03/2019,DE12923850ae0f5,Community Reconstruction of Social Service (CROSS),AUD,50.00,0.96
20/03/2019,DE129247a7915cb,Prayas,GBP,50.00,0.90
20/03/2019,DE1292485dbeef5,United Sisters Foundation,USD,100.00,2.35
20/03/2019,DE12924b5b0b05b,Mantra Social Services,USD,74.00,1.79
20/03/2019,DE12924cc8b4dc0,Million Sparks Foundation,USD,37.00,1.00
20/03/2019,DE12925167458bd,Anandam,USD,174.00,3.94
20/03/2019,DE129254c304674,Teach For India,USD,50.00,1.28
20/03/2019,DE12925c183cb5e,Change With One Foundation,USD,37.00,1.00
20/03/2019,DE1292723e1cd19,Parivaar Education Society,USD,37.00,1.00
20/03/2019,DE12927b685bcd8,SERUDS - Sai Educational Rural And Urban Development Society,USD,20.00,0.63
20/03/2019,DE12928426044db,Y4D Foundation,USD,20.00,0.63
20/03/2019,DE129286c5c8f47,Cuddles Foundation,USD,15.00,0.52
20/03/2019,DE1292884edb650,Waste Warriors Society,AED,50.00,0.49
20/03/2019,DE129289d2b8284,Gramin Samassya Mukti Trust,USD,50.00,1.28
20/03/2019,DE1292957277cd4,Khel Khel Mein Foundation,USD,50.00,1.28
20/03/2019,DE1292a3465eae4,Perambalur District Network for HIV Positive People,USD,37.00,1.00
20/03/2019,DE1292a41247af3,Bangiya Ayurveda Samaj,USD,50.00,1.28
20/03/2019,DE1292b1acd1d96,Deendayal Navrachna Pratisthan Sondara Gurukul Domri,CAD,49.00,0.99
21/03/2019,DE1292dd0ea59f8,Humana People to People India,USD,100.00,2.35
21/03/2019,DE1292e09eeb792,NavGurukul Foundation for Social Welfare,USD,50.00,1.28
21/03/2019,DE1292e9fe99fd5,Team Everest,USD,100.00,2.35
21/03/2019,DE1292ee8733dbe,Agrasar,USD,75.00,1.81
21/03/2019,DE1292f47e60a92,Navnirman Trust (Jagrutha Mahila Sanghatan),USD,20.00,0.63
21/03/2019,DE1292fa223d70d,Susheel Foundation,USD,50.00,1.28
21/03/2019,DE129313d044dd9,People for the Respect and Care of Animals,USD,20.00,0.63
21/03/2019,DE1293176a57f81,Happy Horizons Trust,USD,37.00,1.00
21/03/2019,DE129320e5afd86,People for the Respect and Care of Animals,USD,37.00,1.00
21/03/2019,DE12933470cdeb4,Teach For India,USD,50.00,1.28
21/03/2019,DE12933c986ee11,Happy Horizons Trust,USD,50.00,1.28
21/03/2019,DE12933e85d7831,PURE India Trust,USD,50.00,1.28
21/03/2019,DE12934bdd04a66,Peepal Foundation,AED,134.00,0.99
21/03/2019,DE1293636b4b10a,Vanavil Trust,AUD,50.00,0.97
21/03/2019,DE12937d16d71a0,Cross Blood Foundation,USD,50.00,1.28
21/03/2019,DE12938540007a0,Shikshan Ane Samaj Kalyan Kendra,GBP,20.00,0.48
21/03/2019,DE12938b805b290,RadhaKrushna Charitable Trust,USD,75.00,1.82
21/03/2019,DE1293900d9b1fa,Khel Khel Mein Foundation,USD,50.00,1.28
21/03/2019,DE12939046e35b3,Gir Pachhat Jati Vikas Seva Samiti,USD,15.00,0.52
21/03/2019,DE1293937c007cd,Peepal Foundation,USD,25.00,0.74
21/03/2019,DE129396597c9bd,Bal Sansar Sanstha,USD,50.00,1.28
21/03/2019,DE1293a0413a85f,Bangalore Baptist Hospital Society,USD,35.00,0.96
21/03/2019,DE1293a45440647,Deendayal Navrachna Pratisthan Sondara Gurukul Domri,USD,50.00,1.28
21/03/2019,DE1293a51386e62,Suyam Charitable Trust,USD,50.00,1.28
21/03/2019,DE1293b5e3e0018,Perambalur District Network for HIV Positive People,USD,100.00,2.37
21/03/2019,DE1293b72d4a87f,Vidyarthi Sahayak Samiti,USD,100.00,2.37
21/03/2019,DE1293d6bef3db1,Simple Education Foundation,USD,37.00,1.00
21/03/2019,DE1293d7cb45451,The Baale Mane Trust,USD,37.00,1.00
21/03/2019,DE1293d88d43ca6,Prayas,USD,37.00,1.00
21/03/2019,DE1293d9453f529,Team Everest,USD,37.00,1.00
21/03/2019,DE1293e3b323176,Synodical Board of Social Services of the Church of North India,USD,100.00,2.37
21/03/2019,DE12940b5cba0d5,Tender Heart Education Society,USD,50.00,1.28
21/03/2019,DE12941d8266d41,Let's Live Together Charitable Trust,USD,50.00,1.28
21/03/2019,DE129424a9bfcc5,Reaching Sky Foundation,USD,30.00,0.85
22/03/2019,DE12942fd9a2ae1,Isha Education,USD,37.00,1.00
22/03/2019,DE129444ed43858,Happy Horizons Trust,USD,50.00,1.28
22/03/2019,DE12944c342b451,Vivekananda Youth Forum,USD,100.00,2.37
22/03/2019,DE12944dcab6e0c,Jal Seva Charitable Foundation (WaterAid India),USD,25.00,0.74
22/03/2019,DE12948421b9d06,Team Everest,USD,15.00,0.52
22/03/2019,DE1294ba12bd82e,Let's Live Together Charitable Trust,SGD,100.00,1.81
22/03/2019,DE1294d5f4e9be9,Dream a Dream,SGD,250.00,4.20
22/03/2019,DE1294db09c9f38,RadhaKrushna Charitable Trust,USD,37.00,1.00
22/03/2019,DE1294db1c470e6,Reaching Sky Foundation,USD,25.00,0.74
22/03/2019,DE1294dc2ac5761,United Way of Delhi,GBP,45.00,0.83
22/03/2019,DE1294dd4aaa008,Bangalore Baptist Hospital Society,USD,25.00,0.74
22/03/2019,DE1294e40164453,Amenity Lifeline Emergency Response Team (ALERT),GBP,25.00,0.55
22/03/2019,DE1294ec2e86a03,Bangiya Ayurveda Samaj,USD,50.00,1.28
22/03/2019,DE1294ecc7e38f9,Teach For India,USD,75.00,1.82
22/03/2019,DE1294f4b42c12f,Susheel Foundation,USD,10.00,0.42
22/03/2019,DE1294f5052764e,Reaching Sky Foundation,USD,80.00,1.93
22/03/2019,DE1294f5066110c,Khel Khel Mein Foundation,USD,37.00,1.00
22/03/2019,DE1294fe9ea067b,Parivaar Education Society,USD,100.00,2.36
22/03/2019,DE129501fedaf18,PURE India Trust,EUR,33.00,0.59
22/03/2019,DE129502d745845,Gir Pachhat Jati Vikas Seva Samiti,USD,37.00,1.00
22/03/2019,DE12950c6226148,Community Reconstruction of Social Service (CROSS),USD,66.00,1.63
22/03/2019,DE12950ebacbabc,The CounterMedia Trust,USD,30.00,0.85
22/03/2019,DE129514a09b01f,SERUDS - Sai Educational Rural And Urban Development Society,USD,200.00,4.52
22/03/2019,DE129519f420fa6,Shikshan Ane Samaj Kalyan Kendra,CAD,100.00,1.81
22/03/2019,DE12951de26f0fc,Gir Pachhat Jati Vikas Seva Samiti,USD,250.00,5.60
22/03/2019,DE1295218dc58a2,South Central India Network for Development Alternatives,USD,175.00,3.98
22/03/2019,DE129527e360634,Centre for Wildlife Studies,USD,150.00,3.44
22/03/2019,DE1295296fdf995,The Baale Mane Trust,USD,50.00,1.28
22/03/2019,DE12953f189073d,Community Reconstruction of Social Service (CROSS),USD,25.00,0.74
22/03/2019,DE129548d4329a0,Quality Education Support Trust (QUEST),USD,197.00,4.46
22/03/2019,DE12955836dd3bf,Vidya Poshak,USD,37.00,1.00
22/03/2019,DE129570c52ab40,Sahyog Care For You,USD,102.00,2.40
23/03/2019,DE129590064ae33,Rostrum India Social Organization,USD,25.00,0.74
23/03/2019,DE12959231649d8,Bangalore Medical Services Trust,USD,200.00,4.50
23/03/2019,DE1295956656fa1,Amenity Lifeline Emergency Response Team (ALERT),USD,200.00,4.50
23/03/2019,DE12959b1362524,Society for Children (SOCH),USD,37.00,1.00
23/03/2019,DE12959bf304b8e,Humana People to People India,USD,174.00,3.94
23/03/2019,DE1295a718d126a,Perambalur District Network for HIV Positive People,USD,25.00,0.74
23/03/2019,DE1295ae63efba8,Y4D Foundation,USD,50.00,1.28
23/03/2019,DE1295c04ae788f,Bangalore Baptist Hospital Society,USD,50.00,1.28
23/03/2019,DE1295c134e8906,Tender Heart Education Society,USD,579.00,12.65
23/03/2019,DE1295ce9ede5cd,Gramin Samassya Mukti Trust,USD,100.00,2.35
23/03/2019,DE1295d4cfe4ce9,Susheel Foundation,AED,125.00,0.93
23/03/2019,DE1296126679cb1,Amenity Lifeline Emergency Response Team (ALERT),GBP,15.00,0.41
23/03/2019,DE12962bd2d5e57,Barefoot Edu Foundation (Kokanes Kohinoor Technical Trust),USD,347.00,7.66
23/03/2019,DE129640ee65f71,Mantra Social Services,USD,20.00,0.63
